Optimal HV: 17035431968
Iteration 478: HV = 8646826801.39, HVR = 0.51
Iteration 479: HV = 8675698487.43, HVR = 0.51
Iteration 480: HV = 8675698487.43, HVR = 0.51
Iteration 481: HV = 8675698487.43, HVR = 0.51
Iteration 482: HV = 8675698487.43, HVR = 0.51
Iteration 483: HV = 8675698487.43, HVR = 0.51
Iteration 484: HV = 8687777003.72, HVR = 0.51
Iteration 485: HV = 8687777003.72, HVR = 0.51
Iteration 486: HV = 8643051987.79, HVR = 0.51
Iteration 487: HV = 8643051987.79, HVR = 0.51
Iteration 488: HV = 8643051987.79, HVR = 0.51
Iteration 489: HV = 8643051987.79, HVR = 0.51
Iteration 490: HV = 8643051987.79, HVR = 0.51
Iteration 491: HV = 8663644892.33, HVR = 0.51
Iteration 492: HV = 8663644892.33, HVR = 0.51
Iteration 493: HV = 8663644892.33, HVR = 0.51
Iteration 494: HV = 8663644892.33, HVR = 0.51
Iteration 495: HV = 8674615241.03, HVR = 0.51
Iteration 496: HV = 8674615241.03, HVR = 0.51
Iteration 497: HV = 8674615241.03, HVR = 0.51
Iteration 498: HV = 8674615241.03, HVR = 0.51
Iteration 499: HV = 8674615241.03, HVR = 0.51
Time: 29250.092804
